id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,churn,promotion_last_5years,dept,salary,sat_level_cluster,last_eval_cluster,avg_month_hr_cluster,satisfaction_level^1xlast_evaluation^1,satisfaction_level^1xnumber_project^1,satisfaction_level^1xaverage_montly_hours^1,satisfaction_level^1xtime_spend_company^1,last_evaluation^1xnumber_project^1,last_evaluation^1xaverage_montly_hours^1,last_evaluation^1xtime_spend_company^1,number_project^1xaverage_montly_hours^1,number_project^1xtime_spend_company^1,average_montly_hours^1xtime_spend_company^1
893,0.85,0.85,5,267,5,0,1,0,support,medium,very satisfied,high performance,high hr,0.7224999999999999,4.25,226.95,4.25,4.25,226.95,4.25,1335.0,25.0,1335.0
894,0.73,0.92,5,266,5,0,1,0,support,medium,satisfied,very high performance,high hr,0.6716,3.65,194.18,3.65,4.6000000000000005,244.72,4.6000000000000005,1330.0,25.0,1330.0
895,0.1,0.79,6,294,4,0,1,0,technical,medium,very unsatisfied,high performance,high hr,0.07900000000000001,0.6000000000000001,29.400000000000002,0.4,4.74,232.26000000000002,3.16,1764.0,24.0,1176.0
896,0.44,0.56,2,134,3,0,1,0,technical,medium,unsatisfied,low performance,low hr,0.24640000000000004,0.88,58.96,1.32,1.12,75.04,1.6800000000000002,268.0,6.0,402.0
897,0.3,0.56,3,309,4,1,1,0,technical,low,very unsatisfied,low performance,high hr,0.168,0.8999999999999999,92.7,1.2,1.6800000000000002,173.04000000000002,2.24,927.0,12.0,1236.0
898,0.11,0.77,7,273,4,0,1,0,management,low,very unsatisfied,high performance,high hr,0.0847,0.77,30.03,0.44,5.390000000000001,210.21,3.08,1911.0,28.0,1092.0
899,0.84,0.83,5,238,5,0,1,0,IT,low,very satisfied,high performance,high hr,0.6971999999999999,4.2,199.92,4.2,4.1499999999999995,197.54,4.1499999999999995,1190.0,25.0,1190.0
900,0.78,0.94,5,271,6,0,1,0,IT,low,satisfied,very high performance,high hr,0.7332,3.9000000000000004,211.38,4.68,4.699999999999999,254.73999999999998,5.64,1355.0,30.0,1626.0
901,0.43,0.53,2,145,3,0,1,0,IT,low,unsatisfied,low performance,low hr,0.22790000000000002,0.86,62.35,1.29,1.06,76.85000000000001,1.59,290.0,6.0,435.0
902,0.36,0.55,2,152,3,0,1,0,IT,low,unsatisfied,low performance,low hr,0.198,0.72,54.72,1.08,1.1,83.60000000000001,1.6500000000000001,304.0,6.0,456.0
903,0.43,0.47,2,128,3,0,1,0,IT,low,unsatisfied,low performance,low hr,0.20209999999999997,0.86,55.04,1.29,0.94,60.16,1.41,256.0,6.0,384.0
904,0.45,0.46,2,142,3,0,1,0,product_mng,low,unsatisfied,low performance,low hr,0.20700000000000002,0.9,63.9,1.35,0.92,65.32000000000001,1.3800000000000001,284.0,6.0,426.0
905,0.76,0.93,5,238,5,0,1,0,product_mng,low,satisfied,very high performance,high hr,0.7068000000000001,3.8,180.88,3.8,4.65,221.34,4.65,1190.0,25.0,1190.0
906,0.1,0.78,7,286,4,0,1,0,product_mng,low,very unsatisfied,high performance,high hr,0.07800000000000001,0.7000000000000001,28.6,0.4,5.46,223.08,3.12,2002.0,28.0,1144.0
907,0.09,0.86,6,291,4,0,1,0,product_mng,low,very unsatisfied,very high performance,high hr,0.0774,0.54,26.189999999999998,0.36,5.16,250.26,3.44,1746.0,24.0,1164.0
908,0.92,1.0,5,259,5,0,1,0,IT,low,very satisfied,very high performance,high hr,0.92,4.6000000000000005,238.28,4.6000000000000005,5.0,259.0,5.0,1295.0,25.0,1295.0
909,0.92,0.9,5,248,5,0,1,0,sales,low,very satisfied,very high performance,high hr,0.8280000000000001,4.6000000000000005,228.16,4.6000000000000005,4.5,223.20000000000002,4.5,1240.0,25.0,1240.0
910,0.79,0.98,4,271,5,0,1,0,sales,low,very satisfied,very high performance,high hr,0.7742,3.16,214.09,3.95,3.92,265.58,4.9,1084.0,20.0,1355.0
911,0.43,0.51,2,140,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.2193,0.86,60.199999999999996,1.29,1.02,71.4,1.53,280.0,6.0,420.0
912,0.8,0.95,4,274,5,0,1,0,sales,low,very satisfied,very high performance,high hr,0.76,3.2,219.20000000000002,4.0,3.8,260.3,4.75,1096.0,20.0,1370.0
913,0.44,0.49,2,127,3,1,1,0,sales,low,unsatisfied,low performance,low hr,0.21559999999999999,0.88,55.88,1.32,0.98,62.23,1.47,254.0,6.0,381.0
914,0.89,0.87,5,275,6,0,1,0,marketing,low,very satisfied,very high performance,high hr,0.7743,4.45,244.75,5.34,4.35,239.25,5.22,1375.0,30.0,1650.0
915,0.48,0.88,3,239,3,0,1,0,sales,low,unsatisfied,very high performance,high hr,0.4224,1.44,114.72,1.44,2.64,210.32,2.64,717.0,9.0,717.0
916,0.11,0.82,6,304,4,1,1,0,accounting,low,very unsatisfied,high performance,high hr,0.09019999999999999,0.66,33.44,0.44,4.92,249.27999999999997,3.28,1824.0,24.0,1216.0
917,0.38,0.55,2,145,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.20900000000000002,0.76,55.1,1.1400000000000001,1.1,79.75,1.6500000000000001,290.0,6.0,435.0
918,0.11,0.85,6,259,4,0,1,0,technical,medium,very unsatisfied,high performance,high hr,0.0935,0.66,28.49,0.44,5.1,220.15,3.4,1554.0,24.0,1036.0
919,0.82,0.86,4,264,5,0,1,0,management,medium,very satisfied,very high performance,high hr,0.7051999999999999,3.28,216.48,4.1,3.44,227.04,4.3,1056.0,20.0,1320.0
920,0.37,0.45,2,160,3,0,1,0,marketing,medium,unsatisfied,low performance,low hr,0.1665,0.74,59.2,1.1099999999999999,0.9,72.0,1.35,320.0,6.0,480.0
921,0.4,0.48,2,138,3,0,1,0,marketing,medium,unsatisfied,low performance,low hr,0.192,0.8,55.2,1.2000000000000002,0.96,66.24,1.44,276.0,6.0,414.0
922,0.43,0.47,2,137,3,0,1,0,marketing,medium,unsatisfied,low performance,low hr,0.20209999999999997,0.86,58.91,1.29,0.94,64.39,1.41,274.0,6.0,411.0
923,0.44,0.5,2,156,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.22,0.88,68.64,1.32,1.0,78.0,1.5,312.0,6.0,468.0
924,0.42,0.56,2,147,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.23520000000000002,0.84,61.739999999999995,1.26,1.12,82.32000000000001,1.6800000000000002,294.0,6.0,441.0
925,0.11,0.8,7,243,4,0,1,0,sales,medium,very unsatisfied,high performance,high hr,0.08800000000000001,0.77,26.73,0.44,5.6000000000000005,194.4,3.2,1701.0,28.0,972.0
926,0.78,0.87,4,236,5,0,1,0,sales,medium,satisfied,very high performance,high hr,0.6786,3.12,184.08,3.9000000000000004,3.48,205.32,4.35,944.0,20.0,1180.0
927,0.46,0.86,2,212,4,0,1,0,sales,medium,unsatisfied,very high performance,med hr,0.3956,0.92,97.52000000000001,1.84,1.72,182.32,3.44,424.0,8.0,848.0
928,0.77,0.91,5,261,6,0,1,0,sales,medium,satisfied,very high performance,high hr,0.7007,3.85,200.97,4.62,4.55,237.51000000000002,5.46,1305.0,30.0,1566.0
929,0.83,0.82,4,243,5,0,1,0,sales,medium,very satisfied,high performance,high hr,0.6805999999999999,3.32,201.69,4.1499999999999995,3.28,199.26,4.1,972.0,20.0,1215.0
930,0.32,0.58,5,271,5,0,1,0,sales,high,unsatisfied,average performance,high hr,0.1856,1.6,86.72,1.6,2.9,157.17999999999998,2.9,1355.0,25.0,1355.0
931,0.9,0.92,5,154,4,0,1,0,sales,low,very satisfied,very high performance,low hr,0.8280000000000001,4.5,138.6,3.6,4.6000000000000005,141.68,3.68,770.0,20.0,616.0
932,0.42,0.52,2,151,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.2184,0.84,63.419999999999995,1.26,1.04,78.52,1.56,302.0,6.0,453.0
933,0.1,0.96,6,254,4,1,1,0,sales,medium,very unsatisfied,very high performance,high hr,0.096,0.6000000000000001,25.400000000000002,0.4,5.76,243.84,3.84,1524.0,24.0,1016.0
934,0.1,0.91,6,285,4,0,1,0,sales,medium,very unsatisfied,very high performance,high hr,0.09100000000000001,0.6000000000000001,28.5,0.4,5.46,259.35,3.64,1710.0,24.0,1140.0
935,0.44,0.49,2,130,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.21559999999999999,0.88,57.2,1.32,0.98,63.699999999999996,1.47,260.0,6.0,390.0
936,0.1,0.95,7,301,4,0,1,0,sales,low,very unsatisfied,very high performance,high hr,0.095,0.7000000000000001,30.1,0.4,6.6499999999999995,285.95,3.8,2107.0,28.0,1204.0
937,0.11,0.8,6,286,4,0,1,0,sales,low,very unsatisfied,high performance,high hr,0.08800000000000001,0.66,31.46,0.44,4.800000000000001,228.8,3.2,1716.0,24.0,1144.0
938,0.1,0.89,6,246,4,0,1,0,sales,low,very unsatisfied,very high performance,high hr,0.08900000000000001,0.6000000000000001,24.6,0.4,5.34,218.94,3.56,1476.0,24.0,984.0
939,0.39,0.47,2,135,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.1833,0.78,52.65,1.17,0.94,63.449999999999996,1.41,270.0,6.0,405.0
940,0.92,0.92,4,245,5,0,1,0,sales,low,very satisfied,very high performance,high hr,0.8464,3.68,225.4,4.6000000000000005,3.68,225.4,4.6000000000000005,980.0,20.0,1225.0
941,0.43,0.56,2,136,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.24080000000000001,0.86,58.48,1.29,1.12,76.16000000000001,1.6800000000000002,272.0,6.0,408.0
942,0.11,0.89,6,301,4,0,1,0,accounting,low,very unsatisfied,very high performance,high hr,0.0979,0.66,33.11,0.44,5.34,267.89,3.56,1806.0,24.0,1204.0
943,0.81,1.0,5,235,5,0,1,0,accounting,low,very satisfied,very high performance,high hr,0.81,4.050000000000001,190.35000000000002,4.050000000000001,5.0,235.0,5.0,1175.0,25.0,1175.0
944,0.11,0.85,7,272,4,0,1,0,accounting,low,very unsatisfied,high performance,high hr,0.0935,0.77,29.92,0.44,5.95,231.2,3.4,1904.0,28.0,1088.0
945,0.87,1.0,5,274,5,0,1,0,hr,low,very satisfied,very high performance,high hr,0.87,4.35,238.38,4.35,5.0,274.0,5.0,1370.0,25.0,1370.0
946,0.37,0.46,2,131,3,0,1,0,hr,low,unsatisfied,low performance,low hr,0.17020000000000002,0.74,48.47,1.1099999999999999,0.92,60.260000000000005,1.3800000000000001,262.0,6.0,393.0
947,0.39,0.56,2,135,3,0,1,0,hr,low,unsatisfied,low performance,low hr,0.21840000000000004,0.78,52.65,1.17,1.12,75.60000000000001,1.6800000000000002,270.0,6.0,405.0
948,0.61,0.86,4,196,4,0,1,0,hr,low,satisfied,very high performance,med hr,0.5246,2.44,119.56,2.44,3.44,168.56,3.44,784.0,16.0,784.0
949,0.11,0.95,6,285,4,0,1,0,technical,low,very unsatisfied,very high performance,high hr,0.1045,0.66,31.35,0.44,5.699999999999999,270.75,3.8,1710.0,24.0,1140.0
950,0.09,0.9,7,289,5,0,1,0,technical,low,very unsatisfied,very high performance,high hr,0.081,0.63,26.009999999999998,0.44999999999999996,6.3,260.1,4.5,2023.0,35.0,1445.0
951,0.36,0.52,2,157,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.1872,0.72,56.519999999999996,1.08,1.04,81.64,1.56,314.0,6.0,471.0
952,0.09,0.94,6,308,4,0,1,0,technical,low,very unsatisfied,very high performance,high hr,0.0846,0.54,27.72,0.36,5.64,289.52,3.76,1848.0,24.0,1232.0
953,0.41,0.71,4,301,5,0,1,0,technical,low,unsatisfied,average performance,high hr,0.29109999999999997,1.64,123.41,2.05,2.84,213.70999999999998,3.55,1204.0,20.0,1505.0
954,0.4,0.46,2,131,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.18400000000000002,0.8,52.400000000000006,1.2000000000000002,0.92,60.260000000000005,1.3800000000000001,262.0,6.0,393.0
955,0.1,0.91,6,262,5,1,1,0,technical,low,very unsatisfied,very high performance,high hr,0.09100000000000001,0.6000000000000001,26.200000000000003,0.5,5.46,238.42000000000002,4.55,1572.0,30.0,1310.0
956,0.46,0.53,2,143,3,1,1,0,technical,low,unsatisfied,low performance,low hr,0.24380000000000002,0.92,65.78,1.3800000000000001,1.06,75.79,1.59,286.0,6.0,429.0
957,0.39,0.57,2,133,3,0,1,0,technical,medium,unsatisfied,low performance,low hr,0.2223,0.78,51.870000000000005,1.17,1.14,75.80999999999999,1.71,266.0,6.0,399.0
958,0.41,0.5,2,153,3,0,1,0,technical,medium,unsatisfied,low performance,low hr,0.205,0.82,62.73,1.23,1.0,76.5,1.5,306.0,6.0,459.0
959,0.1,0.94,7,281,4,0,1,0,technical,medium,very unsatisfied,very high performance,high hr,0.094,0.7000000000000001,28.1,0.4,6.58,264.14,3.76,1967.0,28.0,1124.0
960,0.39,0.51,2,132,3,0,1,0,support,medium,unsatisfied,low performance,low hr,0.19890000000000002,0.78,51.480000000000004,1.17,1.02,67.32000000000001,1.53,264.0,6.0,396.0
961,0.73,0.83,5,270,5,1,1,0,support,medium,satisfied,high performance,high hr,0.6059,3.65,197.1,3.65,4.1499999999999995,224.1,4.1499999999999995,1350.0,25.0,1350.0
962,0.41,0.45,2,150,3,0,1,0,support,medium,unsatisfied,low performance,low hr,0.1845,0.82,61.49999999999999,1.23,0.9,67.5,1.35,300.0,6.0,450.0
963,0.37,0.51,2,140,3,0,1,0,support,medium,unsatisfied,low performance,low hr,0.1887,0.74,51.8,1.1099999999999999,1.02,71.4,1.53,280.0,6.0,420.0
964,0.38,0.5,2,150,3,1,1,0,support,medium,unsatisfied,low performance,low hr,0.19,0.76,57.0,1.1400000000000001,1.0,75.0,1.5,300.0,6.0,450.0
965,0.8,0.63,5,180,5,0,1,0,support,medium,very satisfied,average performance,med hr,0.504,4.0,144.0,4.0,3.15,113.4,3.15,900.0,25.0,900.0
966,0.09,0.85,5,281,4,0,1,0,support,medium,very unsatisfied,high performance,high hr,0.0765,0.44999999999999996,25.29,0.36,4.25,238.85,3.4,1405.0,20.0,1124.0
967,0.85,0.92,4,275,5,0,1,0,support,medium,very satisfied,very high performance,high hr,0.782,3.4,233.75,4.25,3.68,253.0,4.6000000000000005,1100.0,20.0,1375.0
968,0.42,0.54,2,130,3,0,1,0,support,medium,unsatisfied,low performance,low hr,0.2268,0.84,54.6,1.26,1.08,70.2,1.62,260.0,6.0,390.0
969,0.41,0.48,2,130,3,0,1,0,support,high,unsatisfied,low performance,low hr,0.19679999999999997,0.82,53.3,1.23,0.96,62.4,1.44,260.0,6.0,390.0
970,0.38,0.46,2,147,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.1748,0.76,55.86,1.1400000000000001,0.92,67.62,1.3800000000000001,294.0,6.0,441.0
971,0.72,1.0,5,264,5,0,1,0,technical,medium,satisfied,very high performance,high hr,0.72,3.5999999999999996,190.07999999999998,3.5999999999999996,5.0,264.0,5.0,1320.0,25.0,1320.0
972,0.11,0.74,6,290,5,0,1,0,technical,medium,very unsatisfied,high performance,high hr,0.0814,0.66,31.9,0.55,4.4399999999999995,214.6,3.7,1740.0,30.0,1450.0
973,0.37,0.47,2,150,3,0,1,0,technical,medium,unsatisfied,low performance,low hr,0.1739,0.74,55.5,1.1099999999999999,0.94,70.5,1.41,300.0,6.0,450.0
974,0.1,0.81,6,304,4,0,1,0,management,medium,very unsatisfied,high performance,high hr,0.08100000000000002,0.6000000000000001,30.400000000000002,0.4,4.86,246.24,3.24,1824.0,24.0,1216.0
975,0.36,0.54,2,136,3,0,1,0,IT,low,unsatisfied,low performance,low hr,0.19440000000000002,0.72,48.96,1.08,1.08,73.44,1.62,272.0,6.0,408.0
976,0.92,0.94,5,307,5,0,1,0,IT,low,very satisfied,very high performance,high hr,0.8648,4.6000000000000005,282.44,4.6000000000000005,4.699999999999999,288.58,4.699999999999999,1535.0,25.0,1535.0
977,0.11,0.87,5,303,4,0,1,0,IT,low,very unsatisfied,very high performance,high hr,0.0957,0.55,33.33,0.44,4.35,263.61,3.48,1515.0,20.0,1212.0
978,0.39,0.56,2,156,3,0,1,0,IT,low,unsatisfied,low performance,low hr,0.21840000000000004,0.78,60.84,1.17,1.12,87.36000000000001,1.6800000000000002,312.0,6.0,468.0
979,0.11,0.95,6,271,4,0,1,0,IT,low,very unsatisfied,very high performance,high hr,0.1045,0.66,29.81,0.44,5.699999999999999,257.45,3.8,1626.0,24.0,1084.0
980,0.45,0.45,2,140,3,0,1,0,product_mng,low,unsatisfied,low performance,low hr,0.2025,0.9,63.0,1.35,0.9,63.0,1.35,280.0,6.0,420.0
981,0.44,0.55,2,130,3,1,1,0,product_mng,low,unsatisfied,low performance,low hr,0.24200000000000002,0.88,57.2,1.32,1.1,71.5,1.6500000000000001,260.0,6.0,390.0
982,0.85,0.97,4,266,6,0,1,0,product_mng,low,very satisfied,very high performance,high hr,0.8245,3.4,226.1,5.1,3.88,258.02,5.82,1064.0,24.0,1596.0
983,0.43,0.52,2,139,3,0,1,0,product_mng,low,unsatisfied,low performance,low hr,0.2236,0.86,59.769999999999996,1.29,1.04,72.28,1.56,278.0,6.0,417.0
984,0.75,0.86,5,260,5,0,1,0,IT,low,satisfied,very high performance,high hr,0.645,3.75,195.0,3.75,4.3,223.6,4.3,1300.0,25.0,1300.0
985,0.11,0.55,2,137,3,1,1,0,RandD,low,very unsatisfied,low performance,low hr,0.060500000000000005,0.22,15.07,0.33,1.1,75.35000000000001,1.6500000000000001,274.0,6.0,411.0
986,0.36,0.5,2,158,3,0,1,0,RandD,low,unsatisfied,low performance,low hr,0.18,0.72,56.879999999999995,1.08,1.0,79.0,1.5,316.0,6.0,474.0
987,0.1,0.79,6,249,4,0,1,0,RandD,low,very unsatisfied,high performance,high hr,0.07900000000000001,0.6000000000000001,24.900000000000002,0.4,4.74,196.71,3.16,1494.0,24.0,996.0
988,0.74,0.89,5,259,5,0,1,0,RandD,low,satisfied,very high performance,high hr,0.6586,3.7,191.66,3.7,4.45,230.51,4.45,1295.0,25.0,1295.0
989,0.4,0.46,2,144,3,0,1,0,RandD,low,unsatisfied,low performance,low hr,0.18400000000000002,0.8,57.6,1.2000000000000002,0.92,66.24000000000001,1.3800000000000001,288.0,6.0,432.0
990,0.09,0.77,6,244,4,0,1,0,marketing,low,very unsatisfied,high performance,high hr,0.0693,0.54,21.96,0.36,4.62,187.88,3.08,1464.0,24.0,976.0
991,0.76,0.91,4,219,5,0,1,0,sales,low,satisfied,very high performance,med hr,0.6916,3.04,166.44,3.8,3.64,199.29000000000002,4.55,876.0,20.0,1095.0
992,0.45,0.57,2,151,3,0,1,0,accounting,low,unsatisfied,low performance,low hr,0.2565,0.9,67.95,1.35,1.14,86.07,1.71,302.0,6.0,453.0
993,0.84,0.88,4,269,5,0,1,0,support,low,very satisfied,very high performance,high hr,0.7392,3.36,225.95999999999998,4.2,3.52,236.72,4.4,1076.0,20.0,1345.0
994,0.38,0.45,2,127,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.171,0.76,48.26,1.1400000000000001,0.9,57.15,1.35,254.0,6.0,381.0
995,0.38,0.46,2,144,3,0,1,0,management,low,unsatisfied,low performance,low hr,0.1748,0.76,54.72,1.1400000000000001,0.92,66.24000000000001,1.3800000000000001,288.0,6.0,432.0
996,0.38,0.54,2,157,3,0,1,0,marketing,medium,unsatisfied,low performance,low hr,0.20520000000000002,0.76,59.660000000000004,1.1400000000000001,1.08,84.78,1.62,314.0,6.0,471.0
997,0.86,0.94,5,224,5,0,1,0,marketing,medium,very satisfied,very high performance,med hr,0.8083999999999999,4.3,192.64,4.3,4.699999999999999,210.56,4.699999999999999,1120.0,25.0,1120.0
998,0.37,0.46,2,155,3,0,1,0,marketing,medium,unsatisfied,low performance,low hr,0.17020000000000002,0.74,57.35,1.1099999999999999,0.92,71.3,1.3800000000000001,310.0,6.0,465.0
999,0.37,0.5,2,131,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.185,0.74,48.47,1.1099999999999999,1.0,65.5,1.5,262.0,6.0,393.0
1000,0.87,1.0,4,258,5,1,1,1,sales,medium,very satisfied,very high performance,high hr,0.87,3.48,224.46,4.35,4.0,258.0,5.0,1032.0,20.0,1290.0
1001,0.11,0.85,6,267,4,0,1,0,sales,medium,very unsatisfied,high performance,high hr,0.0935,0.66,29.37,0.44,5.1,226.95,3.4,1602.0,24.0,1068.0
1002,0.42,0.5,2,141,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.21,0.84,59.22,1.26,1.0,70.5,1.5,282.0,6.0,423.0
1003,0.43,0.48,2,160,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.2064,0.86,68.8,1.29,0.96,76.8,1.44,320.0,6.0,480.0
1004,0.09,0.8,6,247,4,0,1,0,sales,medium,very unsatisfied,high performance,high hr,0.072,0.54,22.23,0.36,4.800000000000001,197.60000000000002,3.2,1482.0,24.0,988.0
1005,0.54,0.56,4,260,3,0,1,0,sales,medium,unsatisfied,low performance,high hr,0.30240000000000006,2.16,140.4,1.62,2.24,145.60000000000002,1.6800000000000002,1040.0,12.0,780.0
1006,0.4,0.47,2,151,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.188,0.8,60.400000000000006,1.2000000000000002,0.94,70.97,1.41,302.0,6.0,453.0
1007,0.36,0.52,2,137,3,1,1,0,sales,medium,unsatisfied,low performance,low hr,0.1872,0.72,49.32,1.08,1.04,71.24000000000001,1.56,274.0,6.0,411.0
1008,0.87,0.9,4,256,5,0,1,0,sales,high,very satisfied,very high performance,high hr,0.783,3.48,222.72,4.35,3.6,230.4,4.5,1024.0,20.0,1280.0
1009,0.75,0.88,4,239,5,0,1,0,sales,low,satisfied,very high performance,high hr,0.66,3.0,179.25,3.75,3.52,210.32,4.4,956.0,20.0,1195.0
1010,0.43,0.53,2,152,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.22790000000000002,0.86,65.36,1.29,1.06,80.56,1.59,304.0,6.0,456.0
1011,0.43,0.47,2,149,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.20209999999999997,0.86,64.07,1.29,0.94,70.03,1.41,298.0,6.0,447.0
1012,0.1,0.87,6,284,4,0,1,0,sales,medium,very unsatisfied,very high performance,high hr,0.08700000000000001,0.6000000000000001,28.400000000000002,0.4,5.22,247.08,3.48,1704.0,24.0,1136.0
1013,0.11,0.78,7,248,4,0,1,0,sales,medium,very unsatisfied,high performance,high hr,0.0858,0.77,27.28,0.44,5.46,193.44,3.12,1736.0,28.0,992.0
1014,0.44,0.53,2,156,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.23320000000000002,0.88,68.64,1.32,1.06,82.68,1.59,312.0,6.0,468.0
1015,0.39,0.48,2,138,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.1872,0.78,53.82,1.17,0.96,66.24,1.44,276.0,6.0,414.0
1016,0.4,0.55,2,155,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.22000000000000003,0.8,62.0,1.2000000000000002,1.1,85.25,1.6500000000000001,310.0,6.0,465.0
1017,0.92,0.87,4,229,6,0,1,0,sales,low,very satisfied,very high performance,med hr,0.8004,3.68,210.68,5.5200000000000005,3.48,199.23,5.22,916.0,24.0,1374.0
1018,0.36,0.47,2,136,3,0,1,0,accounting,low,unsatisfied,low performance,low hr,0.1692,0.72,48.96,1.08,0.94,63.919999999999995,1.41,272.0,6.0,408.0
1019,0.86,0.95,4,241,5,0,1,0,accounting,low,very satisfied,very high performance,high hr,0.817,3.44,207.26,4.3,3.8,228.95,4.75,964.0,20.0,1205.0
1020,0.74,0.87,5,258,5,0,1,0,accounting,low,satisfied,very high performance,high hr,0.6438,3.7,190.92,3.7,4.35,224.46,4.35,1290.0,25.0,1290.0
1021,0.8,0.95,3,146,5,0,1,0,hr,low,very satisfied,very high performance,low hr,0.76,2.4000000000000004,116.80000000000001,4.0,2.8499999999999996,138.7,4.75,438.0,15.0,730.0
1022,0.36,0.48,2,145,3,0,1,0,hr,low,unsatisfied,low performance,low hr,0.17279999999999998,0.72,52.199999999999996,1.08,0.96,69.6,1.44,290.0,6.0,435.0
1023,0.42,0.57,2,159,3,0,1,0,hr,low,unsatisfied,low performance,low hr,0.23939999999999997,0.84,66.78,1.26,1.14,90.63,1.71,318.0,6.0,477.0
1024,0.42,0.47,2,129,3,0,1,0,hr,low,unsatisfied,low performance,low hr,0.1974,0.84,54.18,1.26,0.94,60.629999999999995,1.41,258.0,6.0,387.0
1025,0.4,0.45,2,142,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.18000000000000002,0.8,56.800000000000004,1.2000000000000002,0.9,63.9,1.35,284.0,6.0,426.0
1026,0.46,0.53,2,129,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.24380000000000002,0.92,59.34,1.3800000000000001,1.06,68.37,1.59,258.0,6.0,387.0
1027,0.09,0.9,6,287,4,0,1,0,technical,low,very unsatisfied,very high performance,high hr,0.081,0.54,25.83,0.36,5.4,258.3,3.6,1722.0,24.0,1148.0
1028,0.88,0.89,4,275,5,0,1,0,technical,low,very satisfied,very high performance,high hr,0.7832,3.52,242.0,4.4,3.56,244.75,4.45,1100.0,20.0,1375.0
1029,0.1,0.82,6,272,4,0,1,0,technical,low,very unsatisfied,high performance,high hr,0.082,0.6000000000000001,27.200000000000003,0.4,4.92,223.04,3.28,1632.0,24.0,1088.0
1030,0.1,0.97,6,307,4,0,1,0,technical,low,very unsatisfied,very high performance,high hr,0.097,0.6000000000000001,30.700000000000003,0.4,5.82,297.78999999999996,3.88,1842.0,24.0,1228.0
1031,0.11,0.93,4,295,3,0,1,0,technical,low,very unsatisfied,very high performance,high hr,0.1023,0.44,32.45,0.33,3.72,274.35,2.79,1180.0,12.0,885.0
1032,0.84,0.88,5,237,5,0,1,0,technical,low,very satisfied,very high performance,high hr,0.7392,4.2,199.07999999999998,4.2,4.4,208.56,4.4,1185.0,25.0,1185.0
1033,0.42,0.56,2,158,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.23520000000000002,0.84,66.36,1.26,1.12,88.48,1.6800000000000002,316.0,6.0,474.0
1034,0.1,0.86,6,266,4,1,1,0,technical,low,very unsatisfied,very high performance,high hr,0.08600000000000001,0.6000000000000001,26.6,0.4,5.16,228.76,3.44,1596.0,24.0,1064.0
1035,0.1,0.95,6,256,4,0,1,0,technical,medium,very unsatisfied,very high performance,high hr,0.095,0.6000000000000001,25.6,0.4,5.699999999999999,243.2,3.8,1536.0,24.0,1024.0
1036,0.46,0.54,2,158,3,0,1,0,support,medium,unsatisfied,low performance,low hr,0.24840000000000004,0.92,72.68,1.3800000000000001,1.08,85.32000000000001,1.62,316.0,6.0,474.0
1037,0.09,0.97,7,268,4,0,1,0,support,medium,very unsatisfied,very high performance,high hr,0.08729999999999999,0.63,24.119999999999997,0.36,6.79,259.96,3.88,1876.0,28.0,1072.0
1038,0.89,1.0,4,237,5,0,1,0,support,medium,very satisfied,very high performance,high hr,0.89,3.56,210.93,4.45,4.0,237.0,5.0,948.0,20.0,1185.0
1039,0.82,1.0,4,273,6,0,1,0,support,medium,very satisfied,very high performance,high hr,0.82,3.28,223.85999999999999,4.92,4.0,273.0,6.0,1092.0,24.0,1638.0
1040,0.11,0.89,6,309,4,0,1,0,support,medium,very unsatisfied,very high performance,high hr,0.0979,0.66,33.99,0.44,5.34,275.01,3.56,1854.0,24.0,1236.0
1041,0.81,0.84,5,258,5,0,1,0,support,medium,very satisfied,high performance,high hr,0.6804,4.050000000000001,208.98000000000002,4.050000000000001,4.2,216.72,4.2,1290.0,25.0,1290.0
1042,0.81,0.94,5,233,6,0,1,0,support,medium,very satisfied,very high performance,high hr,0.7614,4.050000000000001,188.73000000000002,4.86,4.699999999999999,219.01999999999998,5.64,1165.0,30.0,1398.0
